order,partitions,mf_type,partitioning,true_backoff,transform,clamp_nonneg,RMSE,MAE,MAPE,mape_coverage,n_eval,n_rules_orderK,hit_rate_exact,hit_rate_any,fallback_rate,backoff_rate
1,15,triangular,equal,True,log1p,True,332.4181241174434,214.61497671864947,28.377110325424308,1.0,48,13,1.0,1.0,0.0,0.0
1,20,triangular,equal,True,log1p,True,357.80646062828407,212.3215785918845,29.03585974455087,1.0,48,18,1.0,1.0,0.0,0.0
2,7,triangular,equal,True,log1p,True,430.3773954832654,248.1250328900146,31.579708772382318,1.0,48,19,1.0,1.0,0.0,0.0
3,7,triangular,equal,True,log1p,True,430.6431697536639,249.8789451516028,32.83258593953757,1.0,48,37,1.0,1.0,0.0,0.0
1,7,triangular,equal,True,log1p,True,430.72586959834575,249.937122022039,32.079250473929825,1.0,48,7,1.0,1.0,0.0,0.0
1,30,triangular,equal,True,log1p,True,432.11580355832444,288.6807036586685,33.493912510539786,1.0,48,27,0.9375,0.9375,0.0625,0.0
2,15,triangular,equal,True,log1p,True,464.6818168666833,281.03738642848987,38.07020235348788,1.0,48,37,0.875,1.0,0.0,0.125
4,7,triangular,equal,True,log1p,True,475.4754677519274,274.85892724403965,39.59441364894218,1.0,48,59,1.0,1.0,0.0,0.0
2,30,triangular,equal,True,log1p,True,491.0138467231318,306.3111795018687,34.84709570984585,1.0,48,85,0.6041666666666666,0.9375,0.0625,0.3333333333333333
2,20,triangular,equal,True,log1p,True,537.3236702536647,307.95621254135455,31.98622427389413,1.0,48,56,0.8333333333333334,1.0,0.0,0.16666666666666666
3,15,triangular,equal,True,log1p,True,552.8600640651723,349.87465386135955,38.63058444002306,1.0,48,67,0.6458333333333334,1.0,0.0,0.3541666666666667
4,15,triangular,equal,True,log1p,True,579.4571599792723,360.2784196755836,40.40442630111221,1.0,48,99,0.4375,1.0,0.0,0.5625
4,30,triangular,equal,True,log1p,True,591.3888259063044,358.198482813593,36.44920297963701,1.0,48,171,0.08333333333333333,0.9375,0.0625,0.8541666666666666
3,30,triangular,equal,True,log1p,True,591.3894022727952,358.29069669369005,36.80387174924093,1.0,48,148,0.3333333333333333,0.9375,0.0625,0.6041666666666666
1,10,triangular,equal,True,log1p,True,674.628731585037,404.05156518565036,34.282350057614046,1.0,48,10,1.0,1.0,0.0,0.0
2,10,triangular,equal,True,log1p,True,674.9773245421635,405.6287534997543,36.18017448184894,1.0,48,27,1.0,1.0,0.0,0.0
4,10,triangular,equal,True,log1p,True,703.2248838258575,418.3435974664003,39.48640289698248,1.0,48,71,0.8541666666666666,1.0,0.0,0.14583333333333334
3,10,triangular,equal,True,log1p,True,704.9219518673696,423.3358331059722,40.62248362061513,1.0,48,51,1.0,1.0,0.0,0.0
3,20,triangular,equal,True,log1p,True,803.8338542682493,446.37960718269113,38.679244519925454,1.0,48,107,0.5208333333333334,1.0,0.0,0.4791666666666667
4,20,triangular,equal,True,log1p,True,803.8387936435812,446.52796978592966,38.90707254381924,1.0,48,138,0.14583333333333334,1.0,0.0,0.8541666666666666
