order,partitions,mf_type,partitioning,true_backoff,transform,clamp_nonneg,RMSE,MAE,MAPE,mape_coverage,n_eval,n_rules_orderK,hit_rate_exact,hit_rate_any,fallback_rate,backoff_rate
1,15,triangular,equal,True,none,True,10617.99922065133,8352.65706833214,10.130923216007687,1.0,48,13,1.0,1.0,0.0,0.0
3,10,triangular,equal,True,none,True,10673.200934231187,7370.298099084136,8.894686973532274,1.0,48,47,0.8541666666666666,1.0,0.0,0.14583333333333334
1,10,triangular,equal,True,none,True,11042.075842277009,7904.778352347884,9.084979927502669,1.0,48,10,1.0,1.0,0.0,0.0
3,30,triangular,equal,True,none,True,11167.596318933221,7466.350243739737,7.4112640034826995,1.0,48,121,0.5416666666666666,0.9791666666666666,0.020833333333333332,0.4375
2,30,triangular,equal,True,none,True,11199.096229233515,7753.73751984127,8.048972733956761,1.0,48,74,0.7291666666666666,0.9791666666666666,0.020833333333333332,0.25
4,30,triangular,equal,True,none,True,11233.6491821669,7583.746831383417,7.538357429727262,1.0,48,145,0.3541666666666667,0.9791666666666666,0.020833333333333332,0.625
4,10,triangular,equal,True,none,True,11366.969749038368,8170.836065806878,9.765563183779886,1.0,48,65,0.7708333333333334,1.0,0.0,0.22916666666666666
2,10,triangular,equal,True,none,True,11457.153707768377,8122.479299166247,9.479757158243258,1.0,48,27,0.9791666666666666,1.0,0.0,0.020833333333333332
1,20,triangular,equal,True,none,True,11564.11059524736,8233.372874873818,8.74090176777993,1.0,48,18,1.0,1.0,0.0,0.0
1,30,triangular,equal,True,none,True,11574.72355933902,7992.831830840095,8.258095354553916,1.0,48,25,0.9791666666666666,0.9791666666666666,0.020833333333333332,0.0
4,15,triangular,equal,True,none,True,12048.466804113117,8726.362443977594,9.756936100276041,1.0,48,87,0.625,1.0,0.0,0.375
2,15,triangular,equal,True,none,True,12104.750523869128,9137.323474702382,10.508476126699064,1.0,48,41,0.9166666666666666,1.0,0.0,0.08333333333333333
4,20,triangular,equal,True,none,True,12108.963665469382,8053.531929824564,8.002282525330486,1.0,48,111,0.5625,1.0,0.0,0.4375
3,15,triangular,equal,True,none,True,12133.92123470218,9073.618716517858,10.269397377092067,1.0,48,66,0.7291666666666666,1.0,0.0,0.2708333333333333
3,20,triangular,equal,True,none,True,12343.391606321231,8336.361337520662,8.46888609984787,1.0,48,85,0.6458333333333334,1.0,0.0,0.3541666666666667
2,20,triangular,equal,True,none,True,12370.914277032547,8604.733001492446,8.89943915986274,1.0,48,54,0.8541666666666666,1.0,0.0,0.14583333333333334
1,7,triangular,equal,True,none,True,12414.119567465865,9574.783897569445,13.57558268585429,1.0,48,7,1.0,1.0,0.0,0.0
2,7,triangular,equal,True,none,True,12685.260468805585,10024.599462553508,14.08106260031584,1.0,48,18,1.0,1.0,0.0,0.0
3,7,triangular,equal,True,none,True,13688.85277112092,10570.953298611112,14.437579678368746,1.0,48,31,0.9583333333333334,1.0,0.0,0.041666666666666664
4,7,triangular,equal,True,none,True,16209.650378742763,11327.016292406652,14.949581791916469,1.0,48,45,0.875,1.0,0.0,0.125
